step,fitness,genome
0,7916572.0,[0 1 0 1 0 1 1 0]
0,42585586.0,[1 1 0 0 0 0 0 1]
0,84098986.0,[0 0 0 0 0 1 1 0]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,73355160.0,[0 0 0 1 1 1 1 1]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,0.0,[0 0 0 1 1 1 1 0]
0,7916572.0,[0 1 0 1 0 1 1 0]
0,43546389.0,[0 1 0 1 0 1 0 1]
0,43546389.0,[0 1 0 1 0 1 0 1]
0,120442828.0,[1 1 0 0 1 0 1 0]
0,168875781.0,[0 1 1 1 0 0 1 0]
0,90507268.0,[0 1 0 1 1 1 0 0]
0,70475225.0,[0 0 1 0 1 1 0 1]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,70475225.0,[0 0 1 0 1 1 0 1]
0,101251094.0,[0 1 0 0 0 1 0 1]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,42585586.0,[1 1 0 0 0 0 0 1]
0,0.0,[0 0 0 1 1 1 1 0]
0,45618813.0,[1 1 0 1 0 1 0 0]
0,43546389.0,[0 1 0 1 0 1 0 1]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,45077963.0,[0 0 0 1 0 0 1 0]
0,45618813.0,[1 1 0 1 0 1 0 0]
0,101785649.0,[0 0 1 1 0 1 0 1]
0,45618813.0,[1 1 0 1 0 1 0 0]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,190950851.0,[1 0 1 1 0 1 0 0]
0,44080944.0,[0 0 1 0 0 1 0 1]
0,176609664.0,[0 0 1 0 1 0 1 1]
