ga_model,pk_len,plaintext,cipher,decrypted_cipher,encrypt_time,decrypt_time
none,1,1,367,1,0.0,0.0
none,1,1,138,1,0.0,0.0
none,1,0,0,0,0.0,0.0
none,1,0,0,0,0.0,0.0
none,1,0,0,0,0.0,0.0
none,1,0,0,0,0.0,0.0
none,1,1,443,1,0.0,0.0
none,1,1,1374,1,0.0,0.0
none,1,1,160,1,0.0,0.0
none,1,0,0,0,0.0,0.0
none,2,2,1980,2,0.0,0.0
none,2,3,1747,3,0.0,0.0
none,2,1,2964,1,0.0,0.0
none,2,3,2092,3,0.0,0.0
none,2,3,1100,3,0.0,0.0
none,2,2,951,2,0.0,0.0
none,2,1,488,1,0.0,0.0
none,2,3,1312,3,0.0,0.0
none,2,3,2609,3,0.0,0.0
none,2,3,3501,3,0.0,0.0
none,4,6,17793,6,0.0,0.0
none,4,2,1074,2,0.0,0.0
none,4,11,10811,11,0.0,0.0
none,4,4,2619,4,0.0,0.0
none,4,11,5833,11,0.0,0.0
none,4,9,3073,9,0.0,0.0
none,4,6,6560,6,0.0,0.0
none,4,3,11950,3,0.0,0.0
none,4,12,5011,12,0.0,0.0
none,4,10,9082,10,0.0,0.0
none,8,70,163189,70,0.0,0.0
none,8,174,466303,174,0.0,0.0
none,8,83,247039,83,0.0,0.0
none,8,93,583657,93,0.0,0.0
none,8,233,285467,233,0.0,0.0
none,8,106,171980,106,0.0,0.0
none,8,158,210139,158,0.0,0.0
none,8,76,284310,76,0.0,0.0
none,8,192,111210,192,0.0,0.0
none,8,139,327435,139,0.0,0.0
none,10,854,1876073,854,0.0,0.0
none,10,951,1867751,951,0.0,0.0
none,10,13,721389,13,0.0,0.0
none,10,906,1189009,906,0.0,0.0
none,10,703,863952,703,0.0,0.0
none,10,420,1784112,420,0.0,0.0
none,10,982,2826376,982,0.0,0.0
none,10,355,1759542,355,0.0,0.0
none,10,501,1290451,501,0.0,0.0
none,10,891,1999592,891,0.0,0.0
none,12,3106,5429984,3106,0.0,0.0
none,12,1487,5676540,1487,0.0,0.0
none,12,3429,4926322,3429,0.0,0.0
none,12,445,6052009,445,0.0,0.0
none,12,3848,5553450,3848,0.0,0.0
none,12,637,14573213,637,0.0,0.0
none,12,3003,12809329,3003,0.0,0.0
none,12,1025,2189057,1025,0.0,0.0
none,12,3517,7582962,3517,0.0,0.0
none,12,54,2921651,54,0.0,0.0
none,14,2793,26630859,2793,0.0,0.0
none,14,5718,36134422,5718,0.0,0.0
none,14,16325,53402121,16325,0.0,0.0
none,14,4382,28421099,4382,0.0,0.0
none,14,10554,28261142,10554,0.0,0.0
none,14,593,28245416,593,0.0,0.0
none,14,15726,18873014,15726,0.0,0.0
none,14,5297,32436291,5297,0.0,0.0
none,14,11712,31234023,11712,0.0,0.0
none,14,5917,43952039,5917,0.0,0.0
none,16,43918,158827947,43918,0.0,0.0
none,16,36583,88788649,36583,0.0,0.0
none,16,6810,89241854,6810,0.0,0.0
none,16,14108,90644781,14108,0.0,0.0
none,16,1066,53025898,1066,0.0,0.0
none,16,2001,91136389,2001,0.0,0.0
none,16,46660,50933715,46660,0.0,0.0
none,16,50860,165868655,50860,0.0,0.0
none,16,41410,98209971,41410,0.0,0.0
none,16,7441,171216372,7441,0.0,0.0
simple,1,0,0,0,0.0,0.015622377395629883
simple,1,1,691,1,0.0,0.03931093215942383
simple,1,1,565,1,0.0,0.023998022079467773
simple,1,1,70,1,0.0,0.031705617904663086
simple,1,1,835,1,0.0,0.03131604194641113
simple,1,1,727,1,0.0,0.03186821937561035
simple,1,1,121,1,0.0,0.016102313995361328
simple,1,0,0,0,0.0,0.03995537757873535
simple,1,1,105,1,0.0,0.023664236068725586
simple,1,0,0,0,0.0,0.03388023376464844
simple,2,2,434,2,0.0,0.013797283172607422
simple,2,1,818,1,0.0,0.0327448844909668
simple,2,0,0,0,0.0,0.04634857177734375
simple,2,0,0,0,0.0,0.033376216888427734
simple,2,3,1346,3,0.0,0.021472692489624023
simple,2,2,1906,2,0.0,0.03171825408935547
simple,2,0,0,0,0.0,0.0156705379486084
simple,2,3,2284,3,0.0,0.03121805191040039
simple,2,1,633,1,0.0,0.03172945976257324
simple,2,2,687,2,0.0,0.03273344039916992
simple,4,10,14914,10,0.0,0.031033039093017578
simple,4,3,3693,3,0.0,0.048578500747680664
simple,4,6,6583,6,0.0,0.03267240524291992
