step,fitness,genome
0,25160,[1 1 1 1 0 1]
0,23166,[1 1 0 1 0 1]
0,10585,[0 0 0 0 0 0]
0,19012,[0 0 1 0 0 1]
0,22274,[1 0 0 1 0 1]
0,28495,[0 1 1 0 1 1]
0,13130,[0 0 0 1 1 0]
0,385,[1 1 0 0 1 0]
0,12194,[1 1 1 0 1 0]
0,19729,[1 0 1 0 0 1]
0,4052,[0 0 1 1 0 0]
0,31757,[1 1 0 1 1 1]
0,5154,[0 1 0 1 0 0]
0,21557,[0 0 0 1 0 1]
0,12194,[1 1 1 0 1 0]
0,18627,[1 1 0 0 0 1]
0,14739,[1 1 0 1 1 0]
0,1994,[0 0 0 0 1 0]
0,26326,[1 0 0 0 1 1]
0,10585,[0 0 0 0 0 0]
0,11477,[0 1 1 0 1 0]
0,28320,[1 0 1 0 1 1]
0,21557,[0 0 0 1 0 1]
0,4052,[0 0 1 1 0 0]
0,25160,[1 1 1 1 0 1]
0,9868,[1 0 0 0 0 0]
0,0,[0 0 1 0 1 0]
0,27218,[1 1 0 0 1 1]
0,16733,[1 1 1 1 1 0]
0,14022,[0 1 0 1 1 0]
0,5329,[1 0 0 1 0 0]
0,4437,[1 1 0 1 0 0]
0,385,[1 1 0 0 1 0]
0,24268,[1 0 1 1 0 1]
0,385,[1 1 0 0 1 0]
0,5329,[1 0 0 1 0 0]
0,2443,[1 1 1 1 0 0]
0,9693,[0 1 0 0 0 0]
0,25609,[0 0 0 0 1 1]
0,13130,[0 0 0 1 1 0]
0,11302,[1 0 1 0 1 0]
0,22274,[1 0 0 1 0 1]
0,7874,[1 0 1 0 0 0]
0,6046,[0 0 0 1 0 0]
0,33751,[1 1 1 1 1 1]
0,1994,[0 0 0 0 1 0]
0,19012,[0 0 1 0 0 1]
0,16733,[1 1 1 1 1 0]
0,12194,[1 1 1 0 1 0]
0,9693,[0 1 0 0 0 0]
0,7874,[1 0 1 0 0 0]
0,10585,[0 0 0 0 0 0]
0,2443,[1 1 1 1 0 0]
0,26501,[0 1 0 0 1 1]
0,11477,[0 1 1 0 1 0]
0,2443,[1 1 1 1 0 0]
0,14739,[1 1 0 1 1 0]
0,9868,[1 0 0 0 0 0]
0,21557,[0 0 0 1 0 1]
0,12194,[1 1 1 0 1 0]
0,1277,[1 0 0 0 1 0]
0,25160,[1 1 1 1 0 1]
0,385,[1 1 0 0 1 0]
0,13130,[0 0 0 1 1 0]
0,23166,[1 1 0 1 0 1]
0,2443,[1 1 1 1 0 0]
0,17735,[1 0 0 0 0 1]
0,10585,[0 0 0 0 0 0]
0,7874,[1 0 1 0 0 0]
0,9693,[0 1 0 0 0 0]
0,5329,[1 0 0 1 0 0]
0,14739,[1 1 0 1 1 0]
0,1994,[0 0 0 0 1 0]
0,12194,[1 1 1 0 1 0]
0,0,[0 0 1 0 1 0]
0,25160,[1 1 1 1 0 1]
0,17735,[1 0 0 0 0 1]
0,6046,[0 0 0 1 0 0]
0,7699,[0 1 1 0 0 0]
0,7874,[1 0 1 0 0 0]
0,385,[1 1 0 0 1 0]
0,24443,[0 1 1 1 0 1]
0,3160,[0 1 1 1 0 0]
0,8976,[1 1 0 0 0 0]
0,1994,[0 0 0 0 1 0]
0,19904,[0 1 1 0 0 1]
0,31040,[0 1 0 1 1 1]
0,7874,[1 0 1 0 0 0]
0,14022,[0 1 0 1 1 0]
0,15841,[1 0 1 1 1 0]
0,1102,[0 1 0 0 1 0]
0,32859,[1 0 1 1 1 1]
0,30865,[1 0 0 1 1 1]
0,10585,[0 0 0 0 0 0]
0,18627,[1 1 0 0 0 1]
0,13847,[1 0 0 1 1 0]
0,30148,[0 0 0 1 1 1]
0,5154,[0 1 0 1 0 0]
0,7874,[1 0 1 0 0 0]
0,14739,[1 1 0 1 1 0]
0,15124,[0 0 1 1 1 0]
0,33034,[0 1 1 1 1 1]
0,22274,[1 0 0 1 0 1]
0,23551,[0 0 1 1 0 1]
0,11477,[0 1 1 0 1 0]
0,3160,[0 1 1 1 0 0]
0,15841,[1 0 1 1 1 0]
0,1102,[0 1 0 0 1 0]
0,8976,[1 1 0 0 0 0]
0,11302,[1 0 1 0 1 0]
0,2443,[1 1 1 1 0 0]
0,31040,[0 1 0 1 1 1]
0,28495,[0 1 1 0 1 1]
0,1102,[0 1 0 0 1 0]
0,3160,[0 1 1 1 0 0]
0,7874,[1 0 1 0 0 0]
0,23166,[1 1 0 1 0 1]
0,1102,[0 1 0 0 1 0]
0,13130,[0 0 0 1 1 0]
0,11477,[0 1 1 0 1 0]
0,6982,[1 1 1 0 0 0]
0,15124,[0 0 1 1 1 0]
0,14022,[0 1 0 1 1 0]
0,24443,[0 1 1 1 0 1]
0,28320,[1 0 1 0 1 1]
0,3335,[1 0 1 1 0 0]
0,30865,[1 0 0 1 1 1]
0,17018,[0 0 0 0 0 1]
0,1277,[1 0 0 0 1 0]
0,28495,[0 1 1 0 1 1]
